No,Discord,DCUID
1,g_van,284689343594102784
2,_gleader,706228203823562832
3,0xgrimjow,925845120652308570
4,skillly,694213193815425154
5,andalf,640604012139380748
6,berzanorg,991037531615264808
7,cosmacloud,931815470116536340
8,doctorpreballin,149736769166901248
9,evoyudhasamael,614072664344100884
10,febrian_fedry,1098266763705192588
11,g.orwell,870750205157470220
12,gizmo_at_midnight,1197124247001255986
13,hagen_web3,1223328464707387423
14,crankywakker,867254825694920724
15,kingloui69,884638173114802207
16,leemo00,896368944833789963
17,mikeweb,401489328561455115
18,claire3653,224618619441643520
19,portdev,347384356882350081
20,saddamovic,904296743070474252
21,cetarinacatarina,925336864414654474
22,andikur,837079853027164191
23,dreyville,828052236667584582
24,flasho,103084348999237632
25,katelv_,768484472660033558
26,maomao535,957646436529487953
27,omgnicklachey,812927834841415690
28,qudouz,906623740501168140
29,_seven7777777_,1209895659004633109
30,tolks,475057211903574019
31,auth_maan,1137025553308852344
32,0x_luffy,1095637420357201930
33,pingpingpingpingping,756884647023083631
34,0xamne,268476570358906881
35,0xarich,339119042407301122
36,0xvannnx,577016490352443412
37,.100su,615936691882164235
38,0xbehnaz2,888355459571023904
39,boba5000,368443913440198666
40,cal1.f,437017528267440143
41,capybaracrypto,1192934025128591511
42,0xchine,1194888115790282795
43,daniellll.,435776441729286156
44,,
45,dre3wwww,305062454793338880
46,,
47,0xferbs,586366016372604931
48,0xfs7,780182117887115264
49,0xh3x,281394328767692801
50,katev,597359016854683659
51,,
52,kaybuuuuuu,444105570547662848
53,0xdogukan,489548301792706580
54,0xkika,733602378581934101
55,,
56,lilmatic,310383474248777730
57,littlenada,1061300443130626048
58,livrein,343080694777380864
59,ipongresu,953203156555284551
60,0xmike7,852083769228787753
61,0xneaf,922846897507565598
62,0xolivia,699670098503270500
63,potatokingiscrying,1009313455737684019
64,rayj2209,958472382467674122
65,senjuro.,782896603400241212
66,tequilawaifu,439118693218123787
67,unahh,1068532435698065459
68,0xvalarie,381384033180975104
69,0xwoah,830141441044512768
70,,
71,,
72,0xzoe,570974972575744016
73,cilin.eth,856033045190803496
74,benjamincrypto,842002694063259738
75,21stdaisy,330777254227345420
76,,
77,2kayzee,488338532474290196
78,2red2197,769337853460217867
79,38k.sl,358600305442816001
80,,
81,3lphoe,661511434034741269
82,spydrofr,541039397664194560
83,4y4744,920326916341399553
84,0xpr63,851463377406656582
85,a_aris_,882576013480050741
86,aadvark89,468526016151814164
87,adm1ralftw,666346661408407591
88,aedan5146,698573548045860885
89,akichn.,759691199199838228
90,,
91,alexanderrrb,403964460630278145
92,alexios_k87,822582664342929458
93,,
94,alxxeth,515971638739861515
95,boolieve,932310599189282846
96,annae,887718897728507964
97,annafithegoat,602727099551449088
98,antgeo13,1208162223734792263
99,anubiss29,398228206643052565
100,applepie493,764360317261578240
101,armin056,928003769596256316
102,aromat666,759346921675816971
103,ashu.monad,744543158238445642
104,aslanbek,700033798464733305
105,asura14afc,224088191416664065
106,atifey,924270737299214356
107,mgd9257,946486136069554227
108,dos4289,990362429139591178
109,auri_0x,1005001967011106916
110,ayanaaxx,969777124288368690
111,babayaga4487,821333499188346920
112,babylow.,391210352521510914
113,aleeyasyen,932955105710440468
114,synne6346,929934042210664478
115,,
116,bakba,708928021733834794
